maker_name,model_name,year,version_name,version_url,Launch.Announced,Launch.Status,Launch.Base price,Performance.Power,Performance.Torque,Performance.Acceleration,Performance.Max speed,Performance.,Battery.Capacity,Battery.Tech,Battery.Range,Battery.Consumption,Battery.Recuperation,Battery.Heat pump,Battery.AC Charging,Battery.DC Charging,Battery.,Body.Type,Body.Platform,Body.Dimensions,Body.Wheelbase,Body.Clearance,Body.Weight,Body.Suspension,Body.Wheels,Body.Trunk,Body.Frunk,Body.Towing,Body.,Displays.Center,Displays.Driver's,Displays.Head-up,Comfort.Seats,Comfort.Roof,Comfort.Parking aids,Comfort.Connectivity,Safety.Airbags,Safety.Driving aids,Safety.Self driving,Safety.Crash tests,Body.Drag coef.,Comfort.,Displays.,Safety.
Alfa Romeo,Junior Elettrica,2024 -,54kWh Veloce,https://m.arenaev.com/alfa_romeo_junior_elettrica_54kwh_veloce_2024-specs-665.php,"2024, April 10","Available to order. Released 2024, June","€ 48,500   £ 42,300",FWD 207 kW (280 hp),345 Nm (254 lb-ft),6 sec 0-100 km/h,200 km/h (124 mph),,"50.8 kWh usable, 54 kWh total",Li-ion (400V type),334 km WLTP,17.9 kWh/100 km WLTP,Yes,Yes,"Type 2 11 kW, 100% in 5 hours 45 min","CCS 100 kW max, 10-80% in 30 min",,"5 door hatchback, 5 seats",PSA eCMP,4173 x 1781 x 1532 mm (164.3 x 70.1 x 60.3 in),2562 mm (100.9 in),,"EU: 1635 kg unladen, 2055 kg gross",,"R18, R20","EU: 400 l, 1265 l max",No,No,,"10.25"" touchscreen","10.25""",No,Heated front seats,Panoramic glass roof,"Front and rear sensors, 180˚ camera, reversing camera, park assist",Wireless Android Auto and Apple CarPlay,"Side airbags, front and rear, including head airbag system","Front camera and radar, rear camera. High-beam assist, Autonomous Emergency Brake with pedestrians and cyclists detection, Lane centering assist, Lane Keeping Assist, Driver Attention Alert, Traffic Sign Recognition, Blind Spot Detection",,,,,,
Alfa Romeo,Junior Elettrica,2024 -,54kWh,https://m.arenaev.com/alfa_romeo_junior_elettrica_54kwh_2024-specs-664.php,"2024, April 10","Available to order. Released 2024, June","€ 39,500   £ 33,900",FWD 115 kW (156 hp),260 Nm (192 lb-ft),9 sec 0-100 km/h,150 km/h (93 mph),,"50.8 kWh usable, 54 kWh total",Li-ion (400V type),398 km WLTP,15.6 kWh/100 km WLTP,Yes,Yes,"Type 2 11 kW, 100% in 5 hours 45 min","CCS 100 kW max, 10-80% in 30 min",,"5 door hatchback, 5 seats",PSA eCMP,4173 x 1781 x 1532 mm (164.3 x 70.1 x 60.3 in),2562 mm (100.9 in),,"EU: 1620 kg unladen, 2040 kg gross",,"R18, R20","EU: 400 l, 1265 l max",No,No,,"10.25"" touchscreen","10.25""",No,Heated front seats,Panoramic glass roof,"Front and rear sensors, 180˚ camera, reversing camera, park assist",Wireless Android Auto and Apple CarPlay,"Side airbags, front and rear, including head airbag system","Front camera and radar, rear camera. High-beam assist, Autonomous Emergency Brake with pedestrians and cyclists detection, Lane centering assist, Lane Keeping Assist, Driver Attention Alert, Traffic Sign Recognition, Blind Spot Detection",,,,,,
Audi,Q4 e-tron,2023 -,35,https://m.arenaev.com/audi_q4_e_tron_35_2024-specs-706.php,"2024, July 18","Available to order. Released 2024, July","€ 45,600",RWD 125 kW (170 hp),310 Nm (229 lb-ft),9 sec 0-100 km/h,160 km/h (99 mph),,"52 kWh usable, 55 kWh total",Liquid-cooled Li-ion 400V,355 km WLTP,17 kWh/100 km WLTP,"3 levels, via driving modes, optional steering wheel paddles",Yes,"Type 2 11 kW, 0-100% in 5 hours 30 min","CCS 145 kW max, 10-80% in 25 min",,"5 door SUV, 5 seats",MEB,4588 x 1865 x 1632 mm (180.6 x 73.4 x 64.3 in),2764 mm (108.8 in),,"EU: 1990 kg unladen, 2500 kg gross","Front MacPherson struts, rear four-link","R19, R20, R21","EU: 520 l, 1490 l max",No,"EU: 750 kg unbraked, 1000 kg braked",,"10.1"" Full HD touchscreen","10.25""","Yes, with augmented reality",Heated front seats,Panoramic glass roof,"Front and rear sensors, 360 camera, reversing camera",Wireless Android Auto and Apple CarPlay,"Side airbags, front and rear, including head airbag system","Front radar, 5 cameras, 2 rear radars, 8 sensors. Night Vision Assist, Lane Keeping Assist, Traffic Sign Recognition, Warn and Brake Assist, Pedestrian/cyclists protection, Exit Warning, Rear and Front Cross Traffic Alert, High Beam Assist",,,0.28 Cd,3-zone climatronic,,
Audi,Q4 e-tron,2023 -,45,https://m.arenaev.com/audi_q4_e_tron_45_2023-specs-542.php,"2023, September 21","Available to order. Released 2023, September","€ 53,000",RWD 210 kW (286 hp),545 Nm (402 lb-ft),6.7 sec 0-100 km/h,180 km/h (112 mph),,"77 kWh usable, 82 kWh total",Liquid-cooled Li-ion 400V,544 km WLTP,16.2 kWh/100 km WLTP,"3 levels, via driving modes, optional steering wheel paddles",Yes,"Type 2 11 kW, 0-100% in 8 hours 17 min","CCS 135 kW max, 10-80% in 28 min",,"5 door SUV, 5 seats",MEB,4588 x 1865 x 1632 mm (180.6 x 73.4 x 64.3 in),2764 mm (108.8 in),,"EU: 2145 kg unladen, 2600 kg gross","Front MacPherson struts, rear four-link","R19, R20, R21","EU: 520 l, 1490 l max",No,"EU: 750 kg unbraked, 1000 kg braked",,"10.1"" Full HD touchscreen","10.25""","Yes, with augmented reality",Heated front seats,Panoramic glass roof,"Front and rear sensors, 360 camera, reversing camera",Wireless Android Auto and Apple CarPlay,"Side airbags, front and rear, including head airbag system","Front radar, 5 cameras, 2 rear radars, 8 sensors. Night Vision Assist, Lane Keeping Assist, Traffic Sign Recognition, Warn and Brake Assist, Pedestrian/cyclists protection, Exit Warning, Rear and Front Cross Traffic Alert, High Beam Assist",,,0.28 Cd,3-zone climatronic,,
Audi,Q4 e-tron,2023 -,45 quattro,https://m.arenaev.com/audi_q4_e_tron_45_quattro_2023-specs-543.php,"2023, September 21","Available to order. Released 2023, September","€ 55,000",AWD 210 kW (286 hp),679 Nm (501 lb-ft),6.6 sec 0-100 km/h,180 km/h (112 mph),,"77 kWh usable, 82 kWh total",Liquid-cooled Li-ion 400V,524 km WLTP,16.7 kWh/100 km WLTP,"3 levels, via driving modes, optional steering wheel paddles",Yes,"Type 2 11 kW, 0-100% in 8 hours 17 min","CCS 175 kW max, 10-80% in 28 min",,"5 door SUV, 5 seats",MEB,4588 x 1865 x 1632 mm (180.6 x 73.4 x 64.3 in),2764 mm (108.8 in),,"EU: 2235 kg unladen, 2750 kg gross","Front MacPherson struts, rear four-link","R19, R20, R21","EU: 520 l, 1490 l max",No,"EU: 750 kg unbraked, 1200 kg braked",,"10.1"" Full HD touchscreen","10.25""","Yes, with augmented reality",Heated front seats,Panoramic glass roof,"Front and rear sensors, 360 camera, reversing camera",Wireless Android Auto and Apple CarPlay,"Side airbags, front and rear, including head airbag system","Front radar, 5 cameras, 2 rear radars, 8 sensors. Night Vision Assist, Lane Keeping Assist, Traffic Sign Recognition, Warn and Brake Assist, Pedestrian/cyclists protection, Exit Warning, Rear and Front Cross Traffic Alert, High Beam Assist",,,0.28 Cd,3-zone climatronic,,
Audi,Q4 e-tron,2023 -,55 quattro,https://m.arenaev.com/audi_q4_e_tron_55_quattro_2023-specs-544.php,"2023, September 21","Available to order. Released 2023, September","€ 59,000   $ 55,200",AWD 250 kW (335 hp),679 Nm (501 lb-ft),5.4 sec 0-100 km/h (5 sec 0-60 mph),180 km/h (112 mph),,"77 kWh usable, 82 kWh total",Liquid-cooled Li-ion 400V,523 km WLTP (415 km EPA),16.8 kWh/100 km WLTP,"3 levels, via driving modes, optional steering wheel paddles",Yes,"Type 2 11 kW, 0-100% in 8 hours 17 min","CCS 175 kW max, 10-80% in 28 min",,"5 door SUV, 5 seats",MEB,4588 x 1865 x 1632 mm (180.6 x 73.4 x 64.3 in),2764 mm (108.8 in),,"EU: 2235 kg unladen, 2750 kg gross","Front MacPherson struts, rear four-link","R19, R20, R21","EU: 520 l, 1490 l max",No,"EU: 750 kg unbraked, 1200 kg braked",,"10.1"" Full HD touchscreen","10.25""","Yes, with augmented reality",Heated front seats,Panoramic glass roof,"Front and rear sensors, 360 camera, reversing camera",Wireless Android Auto and Apple CarPlay,"Side airbags, front and rear, including head airbag system","Front radar, 5 cameras, 2 rear radars, 8 sensors. Night Vision Assist, Lane Keeping Assist, Traffic Sign Recognition, Warn and Brake Assist, Pedestrian/cyclists protection, Exit Warning, Rear and Front Cross Traffic Alert, High Beam Assist",,,0.28 Cd,3-zone climatronic,,
Audi,Q4 e-tron Sportback,2023 -,35,https://m.arenaev.com/audi_q4_e_tron_sportback_35_2024-specs-707.php,"2024, July 18","Available to order. Released 2024, July","€ 47,600",RWD 125 kW (170 hp),310 Nm (229 lb-ft),9 sec 0-100 km/h,160 km/h (99 mph),,"52 kWh usable, 55 kWh total",Liquid-cooled Li-ion 400V,365 km WLTP,16.4 kWh/100 km WLTP,"3 levels, via driving modes, optional steering wheel paddles",Yes,"Type 2 11 kW, 0-100% in 5 hours 30 min","CCS 145 kW max, 10-80% in 25 min",,"5 door SUV, 5 seats",MEB,4588 x 1865 x 1614 mm (180.6 x 73.4 x 63.5 in),2764 mm (108.8 in),,"EU: 1990 kg unladen, 2500 kg gross","Front MacPherson struts, rear four-link","R19, R20, R21","EU: 535 l, 1460 l max",No,"EU: 750 kg unbraked, 1000 kg braked",,"10.1"" Full HD touchscreen","10.25""","Yes, with augmented reality",Heated front seats,Panoramic glass roof,"Front and rear sensors, 360 camera, reversing camera",Wireless Android Auto and Apple CarPlay,"Side airbags, front and rear, including head airbag system","Front radar, 5 cameras, 2 rear radars, 8 sensors. Night Vision Assist, Lane Keeping Assist, Traffic Sign Recognition, Warn and Brake Assist, Pedestrian/cyclists protection, Exit Warning, Rear and Front Cross Traffic Alert, High Beam Assist",,,0.26 Cd,3-zone climatronic,,
Audi,Q4 e-tron Sportback,2023 -,45,https://m.arenaev.com/audi_q4_e_tron_sportback_45_2023-specs-545.php,"2023, September 21","Available to order. Released 2023, September","€ 55,000",RWD 210 kW (286 hp),545 Nm (402 lb-ft),6.7 sec 0-100 km/h,180 km/h (112 mph),,"77 kWh usable, 82 kWh total",Liquid-cooled Li-ion 400V,562 km WLTP,15.6 kWh/100 km WLTP,"3 levels, via driving modes, optional steering wheel paddles",Yes,"Type 2 11 kW, 0-100% in 8 hours 17 min","CCS 135 kW max, 10-80% in 28 min",,"5 door SUV, 5 seats",MEB,4588 x 1865 x 1614 mm (180.6 x 73.4 x 63.5 in),2764 mm (108.8 in),,"EU: 2145 kg unladen, 2660 kg gross","Front MacPherson struts, rear four-link","R19, R20, R21","EU: 535 l, 1460 l max",No,"EU: 750 kg unbraked, 1000 kg braked",,"10.1"" Full HD touchscreen","10.25""","Yes, with augmented reality",Heated front seats,Panoramic glass roof,"Front and rear sensors, 360 camera, reversing camera",Wireless Android Auto and Apple CarPlay,"Side airbags, front and rear, including head airbag system","Front radar, 5 cameras, 2 rear radars, 8 sensors. Night Vision Assist, Lane Keeping Assist, Traffic Sign Recognition, Warn and Brake Assist, Pedestrian/cyclists protection, Exit Warning, Rear and Front Cross Traffic Alert, High Beam Assist",,,0.26 Cd,3-zone climatronic,,
Audi,Q4 e-tron Sportback,2023 -,45 quattro,https://m.arenaev.com/audi_q4_e_tron_sportback_45_quattro_2023-specs-546.php,"2023, September 21","Available to order. Released 2023, September","€ 57,000",AWD 210 kW (286 hp),679 Nm (501 lb-ft),6.6 sec 0-100 km/h,180 km/h (112 mph),,"77 kWh usable, 82 kWh total",Liquid-cooled Li-ion 400V,539 km WLTP,16.2 kWh/100 km WLTP,"3 levels, via driving modes, optional steering wheel paddles",Yes,"Type 2 11 kW, 0-100% in 8 hours 17 min","CCS 175 kW max, 10-80% in 28 min",,"5 door SUV, 5 seats",MEB,4588 x 1865 x 1614 mm (180.6 x 73.4 x 63.5 in),2764 mm (108.8 in),,"EU: 2235 kg unladen, 2750 kg gross","Front MacPherson struts, rear four-link","R19, R20, R21","EU: 535 l, 1460 l max",No,"EU: 750 kg unbraked, 1200 kg braked",,"10.1"" Full HD touchscreen","10.25""","Yes, with augmented reality",Heated front seats,Panoramic glass roof,"Front and rear sensors, 360 camera, reversing camera",Wireless Android Auto and Apple CarPlay,"Side airbags, front and rear, including head airbag system","Front radar, 5 cameras, 2 rear radars, 8 sensors. Night Vision Assist, Lane Keeping Assist, Traffic Sign Recognition, Warn and Brake Assist, Pedestrian/cyclists protection, Exit Warning, Rear and Front Cross Traffic Alert, High Beam Assist",,,0.26 Cd,3-zone climatronic,,
Audi,Q4 e-tron Sportback,2023 -,55 quattro,https://m.arenaev.com/audi_q4_e_tron_sportback_55_quattro_2023-specs-547.php,"2023, September 21","Available to order. Released 2023, September","€ 61,000   $ 58,200",AWD 250 kW (335 hp),679 Nm (501 lb-ft),5.4 sec 0-100 km/h (5 sec 0-60 mph),180 km/h (112 mph),,"77 kWh usable, 82 kWh total",Liquid-cooled Li-ion 400V,537 km WLTP (415 km EPA),16.3 kWh/100 km WLTP,"3 levels, via driving modes, optional steering wheel paddles",Yes,"Type 2 11 kW, 0-100% in 8 hours 17 min","CCS 175 kW max, 10-80% in 28 min",,"5 door SUV, 5 seats",MEB,4588 x 1865 x 1614 mm (180.6 x 73.4 x 63.5 in),2764 mm (108.8 in),,"EU: 2235 kg unladen, 2750 kg gross","Front MacPherson struts, rear four-link","R19, R20, R21","EU: 535 l, 1460 l max",No,"EU: 750 kg unbraked, 1200 kg braked",,"10.1"" Full HD touchscreen","10.25""","Yes, with augmented reality",Heated front seats,Panoramic glass roof,"Front and rear sensors, 360 camera, reversing camera",Wireless Android Auto and Apple CarPlay,"Side airbags, front and rear, including head airbag system","Front radar, 5 cameras, 2 rear radars, 8 sensors. Night Vision Assist, Lane Keeping Assist, Traffic Sign Recognition, Warn and Brake Assist, Pedestrian/cyclists protection, Exit Warning, Rear and Front Cross Traffic Alert, High Beam Assist",,,0.26 Cd,3-zone climatronic,,
